name,url,gvkey,paragraphs,words,tracking_cookies,g_fog,legal_quality
2U INC,2u.com,19881.0,20.0,1536.0,5.0,18.137836,0.31267899
AGENUS INC,agenusbio.com,129466.0,33.0,1612.0,0.0,16.686981,0.63284278
AGREE REALTY CORP,agreerealty.com,30067.0,4.0,556.0,2.0,19.978645,-0.42284921
ALTIUS MINERALS CORP,altiusminerals.com,66431.0,93.0,3567.0,0.0,21.238497,-0.38676116
AMPCO-PITTSBURGH CORP,ampcopgh.com,1613.0,57.0,3674.0,0.0,25.161032000000002,-0.28979442
ANDERSONS INC,andersonsinc.com,1659.0,23.0,1868.0,0.0,16.509705,-0.56723535
APOGEE ENTERPRISES INC,apog.com,1686.0,4.0,264.0,0.0,16.763828,-0.70078802
APOLLO MEDICAL HOLDING INC,apollomed.net,32809.0,11.0,757.0,0.0,16.22604,-0.24343826
AURORA CANNABIS INC,auroramj.com,22449.0,35.0,1680.0,0.0,17.598442000000002,-0.32407111
AVANOS MEDICAL INC,avanos.com,21352.0,48.0,2746.0,2.0,19.412502,1.0628861
AXION VENTURES INC,axionventures.com,27297.0,31.0,1717.0,0.0,19.146418,0.5840804
INDUSTRIAS BACHOCO SAB DE CV,bachoco.com.mx,221545.0,27.0,1263.0,2.0,23.428194,0.72928625
BANKFINANCIAL CORP,bankfinancial.com,161942.0,19.0,499.0,0.0,16.11685,-0.36369538
HOPE BANCORP INC,bankofhope.com,66235.0,18.0,1161.0,4.0,15.246762,-0.07022513400000001
BROOKFIELD BUSINESS PRTNR LP,bbu.brookfield.com,26721.0,60.0,2649.0,0.0,20.8944,0.93579227
BIG ROCK BREWERY INC,bigrockbeer.com,25581.0,21.0,668.0,8.0,17.898986999999998,0.40905145
BIOSTAGE INC,biostage.com,16719.0,12.0,842.0,2.0,19.519945,-0.060793038
BLUEROCK RESIDENTIAL GROWTH,bluerockresidential.com,19275.0,21.0,2004.0,0.0,17.191593,-0.78271013
BROOKFIELD PROPERTY PRTRS LP,bpy.brookfield.com,17556.0,60.0,2649.0,0.0,20.8944,0.93579227
BTL GROUP LTD,btl.co,26527.0,26.0,1807.0,2.0,17.272776,1.0175842
BLACKBERRY LTD,ca.blackberry.com,65986.0,58.0,4561.0,4.0,21.704369,-0.28017601
CACTUS INC,cactuswellhead.com,32938.0,9.0,602.0,3.0,14.084179,-0.22052188
CALERES INC,caleres.com,2436.0,4.0,503.0,1.0,13.702676,-0.18041104
CANNTRUST HLDGS INC,canntrust.ca,32349.0,47.0,1949.0,1.0,19.981129,0.87017834
CHEMBIO DIAGNOSTICS INC,chembio.com,140568.0,11.0,526.0,3.0,14.938811999999999,-0.23862542
CIVITAS SOLUTIONS INC,civitas-solutions.com,185337.0,15.0,888.0,0.0,19.868462,0.01307124
CLEAR CHANNEL OUTDOOR HLDGS,clearchanneloutdoor.com,164660.0,26.0,2720.0,26.0,20.092057999999998,-0.079261065
COPA HOLDINGS SA,copa.gcs-web.com/#,165678.0,55.0,2494.0,1.0,16.844279999999998,0.029074324
CORENERGY INFRASTRUCTURE TR,corenergy.reit,165209.0,8.0,476.0,2.0,18.573206,-0.09953124099999999
TURTLE BEACH CORP,corp.turtlebeach.com,19602.0,35.0,1876.0,2.0,17.703392,0.41572893
COGECO INC  -SUB VTG,corpo.cogeco.com,20315.0,16.0,1027.0,0.0,22.318232000000002,-0.1340183
COGECO COMMUNICATIONS INC,corpo.cogeco.com/cca/en,28555.0,16.0,1027.0,0.0,22.318232000000002,-0.1340183
COMCAST CORP,corporate.comcast.com,3226.0,7.0,387.0,4.0,17.544872,-0.31822795
DISCOVERY INC,corporate.discovery.com,164296.0,81.0,4432.0,0.0,18.488277,-0.70967352
EXXON MOBIL CORP,corporate.exxonmobil.com,4503.0,31.0,2089.0,3.0,16.852156,-0.08720996199999999
MONEYGRAM INTERNATIONAL INC,corporate.moneygram.com,5342.0,24.0,1800.0,26.0,20.565651000000003,0.91024685
MSG NETWORKS INC,corporate.msgnetworks.com,184157.0,48.0,4511.0,0.0,19.109722,0.62514544
STAGE STORES INC,corporate.stage.com,63874.0,20.0,1747.0,0.0,19.446217,-0.48268712
THESCORE INC,corporate.thescore.com,16058.0,47.0,4305.0,0.0,19.060287,0.86168671
YELLOW PAGES LTD,corporate.yp.ca,155313.0,21.0,1438.0,0.0,17.346804000000002,0.24403323
CRISPR THERAPEUTICS AG,crisprtx.com,28113.0,47.0,2524.0,0.0,18.343102,1.2742988000000002
COMMERCIAL VEHICLE GROUP INC,cvgrp.com,160570.0,75.0,1324.0,0.0,24.651155,1.2191321000000002
CANADIAN WESTERN BANK,cwb.com,20285.0,62.0,2444.0,0.0,17.780895,0.69133312
DYNACERT INC,dynacert.com,141662.0,25.0,1346.0,0.0,25.537382,0.39400434
ECN CAPITAL CORP,ecncapitalcorp.com,28309.0,12.0,830.0,0.0,21.733086,0.12136386
EMBLEM CORP,emblemcorp.com,33171.0,48.0,2425.0,0.0,20.286615,0.82611406
ENLINK MIDSTREAM PARTNERS LP,enlk.enlink.com/investor,150277.0,12.0,1102.0,0.0,17.992828,0.22349104
EYEPOINT PHARMACEUTICALS INC,eyepointpharma.com,253527.0,31.0,2034.0,0.0,18.108242,0.018304993999999998
FIBROCELL SCIENCE INC,fibrocell.com,21132.0,24.0,1527.0,0.0,20.67458,0.37875989
FIRM CAPITAL MORTGAGE INV CP,firmcapital.com/fcmic,130598.0,3.0,179.0,0.0,21.989199,0.031269126
FREDS INC,fredsinc.com,12403.0,51.0,3528.0,1.0,16.101675,-0.15971161
OAKTREE STRATEGIC INCOME CP,fsfr.fifthstreetfinance.com,18323.0,14.0,1389.0,1.0,18.229897,-0.32945332
GALMED PHARMACEUTICALS LTD,galmedpharma.com,19771.0,11.0,694.0,1.0,14.377848,-0.045337994000000006
GDI INTEGRATED FACILITY SVCS,gdi.com,23949.0,11.0,1027.0,0.0,18.346781,-0.24110331
CANON INC,global.canon,2721.0,26.0,1203.0,1.0,16.070139,0.32632932
BNP PARIBAS,group.bnpparibas,15532.0,47.0,1386.0,0.0,20.710913,1.1478378
TVA GROUP INC  -CL B,groupetva.ca,13970.0,56.0,4827.0,0.0,17.726471,0.11551578
KEPCO-KOREA ELEC POWER CORP,home.kepco.co.kr,30874.0,86.0,2732.0,0.0,19.179886,0.34015477
IMV INC,imv-inc.com,183669.0,9.0,550.0,0.0,18.249516,-0.40290394
INTELLICHECK INC,intellicheck.com,126020.0,27.0,1205.0,2.0,18.140089,-0.019401845
INVESQUE INC,invesque.com,27131.0,25.0,1724.0,0.0,19.893089,0.41469768
LANTHEUS HOLDINGS INC,investor.lantheus.com,21004.0,2.0,171.0,2.0,19.141085,-0.48510215
AVAYA HLDGS CORP,investors.avaya.com/home/default.aspx,32855.0,3.0,205.0,1.0,20.205072,-0.14440970000000003
UNION BANKSHARES CORP,investors.bankatunion.com,19713.0,2.0,59.540001000000004,1.0,19.571428,-0.30683082
BOXLIGHT CORP,investors.boxlight.com,24421.0,17.0,1159.0,1.0,16.455719000000002,0.25448212
CRH MEDICAL CORP,investors.crhsystem.com,154773.0,5.0,263.0,2.0,15.834626,-0.50768071
GRUBHUB INC,investors.grubhub.com,19906.0,55.0,3516.0,1.0,19.625191,0.91471523
JAMIESON WELLNESS INC,investors.jamiesonwellness.com,31796.0,61.0,5175.0,1.0,23.130251,-0.28670561
TARGET CORP,investors.target.com,3813.0,5.0,177.0,3.0,14.085455,0.066630483
INVITAE CORP,invitae.com,22867.0,78.0,4865.0,8.0,17.480621,1.3050287
DAVE & BUSTER'S ENTMT INC,ir.daveandbusters.com,60923.0,17.0,1611.0,2.0,19.720663000000002,0.19821654
DRIVE SHACK INC,ir.driveshack.com,147303.0,17.0,2211.0,1.0,20.755164999999998,-0.39894843
ESSA BANCORP INC,ir.essabank.com,176703.0,19.0,536.0,0.0,13.935777999999999,-0.32622647
FIRSTCASH INC,ir.firstcash.com,24157.0,7.0,381.0,1.0,19.040592,-0.16888374
MANITOWOC CO,ir.manitowoc.com,6994.0,36.0,1339.0,1.0,18.511681,0.38650593
MEDIFAST INC,ir.medifastinc.com,29517.0,64.0,4210.0,0.0,19.563622,-0.34780499
NETEASE INC,ir.netease.com,137435.0,39.0,3332.0,2.0,17.245987,-0.33145809
MDC HOLDINGS INC,ir.richmondamerican.com,6865.0,27.0,1337.0,1.0,18.202398000000002,-0.1826711
YANDEX N.V.,ir.yandex.com,187118.0,80.0,3274.0,2.0,22.017563,0.63958979
JAGUAR HEALTH INC,jaguar.health,32316.0,48.0,3572.0,1.0,15.574189000000002,-0.041074537
KNIGHT-SWIFT TRPTN HLDGS INC,knight-swiftinc.com,30861.0,15.0,912.0,0.0,15.696175,-0.92134941
KRONOS WORLDWIDE INC,kronostio2.com,157354.0,38.0,2513.0,0.0,15.978023,1.1036451
KUUHUBB INC,kuuhubb.co,140170.0,25.0,927.0,2.0,16.526144,0.44214663
LINE CORP,linecorp.com,27490.0,38.0,1633.0,2.0,19.263678,0.14327943
LOGIQ ASSET MANAGEMENT INC,logiqasset.com,106720.0,8.0,718.0,1.0,18.550529,0.31196326
TRIPLE-S MANAGEMENT CORP,management.grupotriples.com,174647.0,12.0,585.0,9.0,16.66346,-0.45274949
MCAN MORTGAGE CORP,mcanmortgage.com,24932.0,89.0,4458.0,0.0,20.579119,0.74804801
MELINTA THERAPEUTICS INC,melinta.com,196856.0,19.0,848.0,0.0,17.459688,-0.31388763
NANTHEALTH INC,nanthealth.com,27274.0,18.0,1463.0,7.0,18.89278,-0.35148168
ABB LTD,new.abb.com,210418.0,33.0,1743.0,10.0,16.495886,0.63953972
NEW AGE BEVERAGES CORP,newagebev.us,21178.0,22.0,1264.0,1.0,15.378276000000001,0.45418379
NEWS CORP,newscorp.com,18043.0,31.0,1810.0,0.0,20.640734,0.44209686
NINE ENERGY SERVICE INC,nineenergyservice.com,31507.0,14.0,752.0,3.0,18.837635000000002,0.060302182999999995
OCI PARTNERS LP,ocipartnerslp.com,18868.0,13.0,859.0,4.0,17.887472,0.12474672
OPSENS INC,opsens.com,174376.0,4.0,122.0,0.0,17.641531,-0.77559501
PARATEK PHARMACEUTCLS INC,paratekpharma.com,15539.0,33.0,1902.0,0.0,17.575157,0.46788383
PARK ELECTROCHEMICAL CORP,parkelectro.com,8348.0,107.0,7180.0,1.0,21.467346,-0.33916274
PINNACLE RENEWABLE HLDNG,pinnaclepellet.com,33051.0,159.92,9791.4697,2.0,23.966148,-0.41379613
PRIMO WATER CORP,primowater.com,184526.0,10.0,1367.0,5.0,14.388185,0.00014636948999999997
WEBSTER FINANCIAL CORP,public.websteronline.com,17150.0,2.0,116.0,28.0,13.270085,-0.58150607
QUINSTREET INC,quinstreet.com,184263.0,31.0,2154.0,0.0,19.189394,0.69022632
RADIANT LOGISTICS INC,radiantdelivers.com,162914.0,7.0,524.0,0.0,17.923809,-0.59962112
REGIONAL HEALTH PROPERTS INC,regionalhealthproperties.com,166485.0,9.0,235.0,0.0,18.782251000000002,-0.10917494
REVOLUTION LIGHTING TECHNLGS,rvlti.com,29921.0,14.0,796.0,0.0,14.824304000000001,-0.13889737
RYU APPAREL INC,ryu.com,186240.0,24.0,1745.0,2.0,19.312517,0.69053501
SAGA COMMUNICATIONS  -CL A,sagacom.com,27790.0,19.0,1050.0,1.0,20.259972,-0.67567927
SEAWORLD ENTERTAINMENT INC,seaworldentertainment.com,186392.0,55.0,4359.0,26.0,19.017585999999998,0.62916827
STRATEGIC ENVIRONMTL& ENERGY,seer-corp.com,264694.0,2.0,208.0,0.0,16.938461,-0.11151709
SELECTA BIOSCIENCES INC,selectabio.com,27354.0,15.0,638.0,1.0,17.846285,-0.59037316
SENDGRID INC,sendgrid.com,32675.0,8.0,211.0,11.0,16.961826000000002,0.13724183
SENESTECH INC,senestech.com,28365.0,61.0,2843.0,1.0,15.751785,0.58847219
SHARPSPRING INC,sharpspring.com,186903.0,158.0,6871.0,2.0,18.069073,1.1302098999999999
NORDSTROM INC,shop.nordstrom.com,7922.0,61.0,3397.0,6.0,22.463827,0.40840742
SIENTRA INC,sientra.com,22037.0,18.0,1696.0,0.0,17.980696,-0.69871634
SKECHERS U S A INC,skx.com,121142.0,1.0,168.0,1.0,17.219048,-0.12390017
SPERO THERAPEUTICS INC,sperotherapeutics.com,32525.0,11.0,790.0,0.0,16.880808,-0.21601194
SUNWORKS INC,sunworksusa.com,165968.0,8.0,476.0,14.0,15.253051000000001,-0.20724513
SUPERIOR GROUP OF COS INC,superiorgroupofcompanies.com,10198.0,23.0,1994.0,1.0,15.285626999999998,0.24265045
TEEKAY OFFSHORE PARTNERS LP,teekay.com,176259.0,22.0,1113.0,4.0,18.463186,0.1128846
TEJON RANCH CO,tejonranch.com,10390.0,10.0,470.0,1.0,17.836178,-0.65276009
TERRA FIRMA CAPITAL CORP,tfcc.ca,179212.0,5.0,186.0,0.0,17.551369,-0.23421453
TOMI ENVIRONMENTAL SOLUTINS,tomimist.com,180146.0,22.0,1179.0,2.0,17.411189999999998,0.23506899
TROPICANA ENTERTAINMENT INC,tropicanacasinos.com,184619.0,40.0,1964.0,2.0,18.371546,0.08683328300000001
UPLAND SOFTWARE INC,uplandsoftware.com,22040.0,16.0,1060.0,6.0,15.935019,0.36112899
E TRADE FINANCIAL CORP,us.etrade.com,63501.0,62.0,3201.0,7.0,19.585895999999998,0.51110381
VISA INC,usa.visa.com,179534.0,1.0,59.540001000000004,9.0,11.837566,-0.29700208
VICI PROPERTIES INC,viciproperties.com,32580.0,25.0,2151.0,0.0,19.257310999999998,-0.10837314
VISHAY PRECISION GROUP INC,vpgsensors.com,185138.0,25.0,1772.0,0.0,16.872495999999998,-0.64001691
1-800-FLOWERS.COM,www.1800flowers.com,122519.0,66.0,4795.0,15.0,18.809347,0.72096854
PETMED EXPRESS INC,www.1800petmeds.com,65406.0,9.0,707.0,0.0,13.735154999999999,-0.28243086
FIRST BANCORP P R,www.1firstbank.com,16821.0,2.0,109.0,0.0,15.731464,-0.405343
1ST CAPITAL BANK,www.1stcapitalbank.com,177646.0,11.0,624.0,3.0,16.659523,-0.015820581
1ST CONSTITUTION BANCORP,www.1stconstitution.com,65467.0,12.0,333.0,0.0,16.524019,-0.57940847
1ST SOURCE CORP,www.1stsource.com,15199.0,38.0,2820.0,11.0,16.791828,0.00057964068
TWENTY-FIRST CENTURY FOX INC,www.21cf.com,12886.0,34.0,2596.0,1.0,17.570572,1.3203568
DASSAULT SYSTEMS SA,www.3ds.com,63169.0,68.0,3198.0,1.0,21.013784,1.1000048999999998
3D SYSTEMS CORP,www.3dsystems.com,14898.0,103.0,4372.0,1.0,19.604445000000002,1.135048
3M CO,www.3m.com,7435.0,70.0,4401.0,12.0,19.679266000000002,1.4407271000000001
CHINA ONLINE EDUCATN GP -ADR,www.51talk.com,27299.0,33.0,1602.0,1.0,21.831242,0.42811796
FIFTH THIRD BANCORP,www.53.com,4640.0,47.0,2391.0,9.0,16.545918,0.46008009
5N PLUS INC,www.5nplus.com,179163.0,9.0,328.0,0.0,17.580135000000002,0.49668732
SEVEN GENERATIONS ENERGY LTD,www.7genergy.com,17899.0,14.0,723.0,0.0,18.932344,0.40598974
ADVANSIX INC,www.AdvanSix.com,28070.0,37.0,2858.0,0.0,17.566904,0.46988952
BIOANALYTICAL SYSTEMS INC,www.BASinc.com,65905.0,18.0,1076.0,1.0,19.350384,-0.24957152
BOARDWALK REAL ESTATE TRUST,www.BoardwalkREIT.com,29552.0,6.0,299.0,1.0,13.6,-0.36440825
CORESITE REALTY CORP,www.CoreSite.com,185177.0,36.0,2072.0,7.0,17.444567000000003,-0.29812345
FRONT YARD RESIDENTIAL CORP,www.FrontYardResidential.com,16700.0,29.0,1771.0,0.0,18.287846,0.97576857
ITUS CORP,www.ITUScorp.com,12717.0,6.0,169.0,1.0,13.183728,-5.4977293
INDEPENDENT BANK CORP/MI,www.IndependentBank.com,16890.0,12.0,467.0,3.0,16.334095,-0.3548263
INVITATION HOMES INC,www.InvitationHomes.com,30004.0,23.0,2077.0,7.0,16.601366,0.35260344
KOHL'S CORP,www.Kohls.com,25283.0,2.0,59.540001000000004,1.0,15.333332999999998,-0.35454717
L3 TECHNOLOGIES INC,www.L3T.com,110685.0,65.0,2428.0,0.0,20.400969,0.52743614
LTC PROPERTIES INC,www.LTCreit.com,25665.0,20.0,984.0,0.0,16.2253,0.18946578
FIRST BANCORP/NC,www.LocalFirstBank.com,16777.0,40.0,1669.0,17.0,14.137812,-0.33011711
LOGMEIN INC,www.LogMeInInc.com,179666.0,39.0,2331.0,3.0,15.807742000000001,0.61387873
POTLATCHDELTIC CORP,www.PotlatchDeltic.com,8692.0,19.0,1145.0,0.0,19.744619,0.23113088
SELECTIVE INS GROUP INC,www.Selective.com,17115.0,76.0,3504.0,14.0,15.688522,-0.36578554
STATE AUTO FINANCIAL CORP,www.StateAuto.com,24233.0,15.0,692.0,1.0,15.341319,-0.041785172999999995
TIMKENSTEEL CORP,www.TimkenSteel.com,20011.0,22.0,1625.0,8.0,17.433846,-0.51652002
AMERICAN AIRLINES GROUP INC,www.aa.com,1045.0,107.0,5751.0,1.0,20.906921,1.5432907
AMERICAN AXLE & MFG HOLDINGS,www.aam.com,117861.0,70.0,3824.0,12.0,17.871783999999998,0.16253744
AAON INC,www.aaon.com,21542.0,7.0,253.0,0.0,15.068417000000002,-0.44182006
AARON'S INC,www.aarons.com,1076.0,66.0,3737.0,21.0,17.049772,0.19411346
ABBOTT LABORATORIES,www.abbott.com,1078.0,26.0,2091.0,28.0,19.093605,-0.26745811
ABBVIE INC,www.abbvie.com,16101.0,47.0,3712.0,9.0,19.051804,0.69420099
ALPHABET INC,www.abc.xyz,160329.0,97.0,9791.4697,0.0,17.729685,-0.039657265
ABEONA THERAPEUTICS INC,www.abeonatherapeutics.com,12713.0,43.0,1576.0,0.0,15.868281,1.0236967
ABERCROMBIE & FITCH  -CL A,www.abercrombie.com,63643.0,51.0,4322.0,1.0,19.158407,0.79201245
ALLIANCEBERNSTEIN HOLDING LP,www.abglobal.com,14592.0,40.0,1822.0,3.0,20.196728,1.0621452
ABM INDUSTRIES INC,www.abm.com,1410.0,36.0,1930.0,20.0,18.579256,0.50124139
MCDONALD'S CORP,www.aboutmcdonalds.com,7154.0,159.92,9791.4697,2.0,19.361937,0.8168174
SCHWAB (CHARLES) CORP,www.aboutschwab.com,13988.0,64.0,4486.0,0.0,21.192677,-0.36545309
ABSOLUTE SOFTWARE CORP,www.absolute.com,133364.0,20.0,588.0,8.0,19.257063,-0.31386939
ACACIA COMMUNICATIONS INC,www.acacia-inc.com,26722.0,20.0,1139.0,1.0,19.841248999999998,0.54558063
ACADIA PHARMACEUTICALS INC,www.acadia-pharm.com,141846.0,7.0,534.0,0.0,12.735002,-0.016659569
ACADIA HEALTHCARE CO INC,www.acadiahealthcare.com,192255.0,36.0,2349.0,1.0,19.588960999999998,0.056001231
ACADIAN TIMBER CORP,www.acadiantimber.com,165981.0,42.0,2018.0,0.0,22.215422,0.82922381
ACADIA REALTY TRUST,www.acadiarealty.com,28323.0,11.0,736.0,0.0,17.160048,-0.85568595
AMB FINANCIAL CORP,www.acbanker.com,62527.0,9.0,431.0,0.0,11.837566,-0.42999536
ACCELERATE DIAGNOSTICS INC,www.acceleratediagnostics.com,21118.0,29.0,1665.0,3.0,15.911239000000002,-0.78849351
ACCELERIZE INC,www.accelerize.com,179137.0,27.0,1869.0,1.0,19.534304000000002,0.010806868
ACCENTURE PLC,www.accenture.com,143357.0,85.0,3529.0,3.0,18.402874,1.0092379999999999
ACCESS NATIONAL CORP,www.accessnationalbank.com,160891.0,11.0,627.0,0.0,18.20409,-0.37695563
ACCO BRANDS CORP,www.accobrands.com,164506.0,49.0,2413.0,0.0,15.647498,0.5611856
ACCORD FINANCIAL CORP,www.accordfinancial.com,25395.0,25.0,2148.0,0.0,19.307682,-0.30242231
ACCURAY INC,www.accuray.com,176670.0,34.0,2105.0,2.0,17.988962,0.47987431
ACELRX PHARMACEUTICALS INC,www.acelrx.com,185908.0,19.0,1817.0,1.0,16.911289,-0.5494315
ACERUS PHARMACEUTICALS CORP,www.aceruspharma.com,187672.0,16.0,1045.0,1.0,19.107560999999997,-0.68208909
ACETO CORP,www.aceto.com,1094.0,8.0,713.0,1.0,20.843004,0.26103944
ACHAOGEN INC,www.achaogen.com,19718.0,14.0,750.0,0.0,16.440001000000002,0.24340869
ACHILLION PHARMACEUTICALS,www.achillion.com,174136.0,11.0,735.0,0.0,15.494333,-0.67946261
ACI WORLDWIDE INC,www.aciworldwide.com,31564.0,70.0,4191.0,8.0,16.131472,0.39219633
ACLARIS THERAPEUTICS INC,www.aclaristx.com,25904.0,11.0,737.0,0.0,15.553192999999998,-0.67419893
ACME UNITED CORP,www.acmeunited.com,1104.0,21.0,2166.0,1.0,20.035393,0.24010283
ACNB CORP,www.acnb.com,17173.0,1.0,59.540001000000004,1.0,18.078160999999998,-0.34644493
ACORDA THERAPEUTICS INC,www.acorda.com,156617.0,35.0,2205.0,2.0,16.099096,0.69317049
ACORN ENERGY INC,www.acornenergy.com,24912.0,4.0,298.0,0.0,15.555001,-0.3431167
ACTIVISION BLIZZARD INC,www.activisionblizzard.com,180405.0,107.0,5378.0,5.0,17.919937,1.0018654
ACTUANT CORP  -CL A,www.actuant.com,1706.0,27.0,1690.0,1.0,25.537382,0.99496484
ACUITYADS HOLDINGS INC,www.acuityads.com,21155.0,21.0,794.0,17.0,15.923402,-0.36271173
ACUITY BRANDS INC,www.acuitybrands.com,146017.0,29.0,2185.0,8.0,17.514765,0.16509695
ACURA PHARMACEUTICALS INC,www.acurapharm.com,11929.0,30.0,2595.0,0.0,17.906879,-0.43304959
ACUSHNET HOLDINGS CORP,www.acushnetholdingscorp.com,27575.0,32.0,1366.0,1.0,11.837566,0.59409767
ADAMAS PHARMACEUTICALS INC,www.adamaspharma.com,20042.0,108.0,3481.0,10.0,21.8395,0.12476272
ADAMIS PHARMACEUTICALS CORP,www.adamispharmaceuticals.com,182826.0,10.0,698.0,0.0,17.940887,-0.80274785
ADAPTIMMUNE THERAPEUTICS,www.adaptimmune.com,23574.0,68.0,3249.0,0.0,18.101452,0.37376517
ADDUS HOMECARE CORP,www.addus.com,183283.0,22.0,1076.0,1.0,11.837566,0.20305875
ADECOAGRO SA,www.adecoagro.com,186275.0,41.0,2147.0,0.0,18.880739000000002,-0.25859159
ADESTO TECHNOLOGIES CORP,www.adestotech.com,26187.0,30.0,1983.0,3.0,15.691569,-0.30092973
ADIENT PLC,www.adient.com,27333.0,5.0,189.0,16.0,17.078960000000002,-0.23375335
ARCHER-DANIELS-MIDLAND CO,www.adm.com,1722.0,48.0,2728.0,3.0,22.749617,-0.30266553
ADMA BIOLOGICS INC,www.admabiologics.com,17653.0,3.0,180.0,1.0,12.906322,-6.771567299999999
APPLIED DNA SCIENCES INC,www.adnas.com,106126.0,35.0,2159.0,3.0,16.379085999999997,1.0416976
ADOBE SYSTEMS INC,www.adobe.com,12540.0,81.0,3549.0,2.0,19.285866,0.3426652
AUTOMATIC DATA PROCESSING,www.adp.com,1891.0,12.0,273.0,0.0,13.016936,-0.31502664
ADT INC,www.adt.com,32930.0,37.0,1679.0,15.0,16.589287,0.68402636
ADTALEM GLOBAL EDUCATION INC,www.adtalem.com,3905.0,67.0,3218.0,0.0,17.494354,1.1092763
ADTRAN INC,www.adtran.com,30576.0,31.0,1765.0,0.0,15.290639,-0.25551929999999995
ADURO BIOTECH INC,www.aduro.com,23335.0,17.0,1144.0,0.0,17.793229999999998,0.14898868
ADVANCE AUTO PARTS INC,www.advanceautoparts.com,145977.0,58.0,3398.0,15.0,16.145070999999998,-0.39939144
ADVANCED ENERGY INDS INC,www.advanced-energy.com,61562.0,47.0,3045.0,6.0,17.317829,0.28160891
ADVANCED DISPOSAL SERVICES,www.advanceddisposal.com,16648.0,51.0,2175.0,2.0,20.495174,-0.28539413
ADVANCED EMISSIONS SOLUTIONS,www.advancedemissionssolutions.com,156578.0,16.0,1018.0,1.0,17.31377,-0.039107729
ADVANTAGE OIL & GAS LTD,www.advantageog.com,27265.0,75.0,4338.0,0.0,19.16766,-0.32819322
ADVAXIS INC,www.advaxis.com,164511.0,29.0,1437.0,0.0,15.902944,0.24574964
ADVERUM BIOTECHNOLOGIES,www.adverum.com,21020.0,1.0,82.0,0.0,17.291708,0.047210487999999995
AMERN EAGLE OUTFITTERS INC,www.ae.com,30059.0,136.0,6648.0,2.0,20.05875,1.0324742
AECOM,www.aecom.com,147988.0,29.0,1514.0,3.0,17.498755,0.54281408
AECON GROUP INC,www.aecon.com,19987.0,9.0,580.0,0.0,16.26018,-0.036530189
AEGION CORP,www.aegion.com,5978.0,6.0,321.0,1.0,13.613083999999999,-0.43472522
AEGLEA BIOTHERAPEUTICS INC,www.aegleabio.com,24599.0,17.0,1181.0,0.0,16.043341,0.19977815
AEON GLOBAL HEALTH CORP,www.aeonglobalhealth.com,27154.0,58.0,5246.0,0.0,19.903545,-0.276014
AEQUUS PHARMACEUTICALS INC,www.aequuspharma.ca,23362.0,10.0,1758.0,0.0,25.537382,-0.42185169
AERCAP HOLDINGS NV,www.aercap.com,176092.0,35.0,1356.0,0.0,21.709606,0.91466218
ASPEN AEROGELS INC,www.aerogel.com,187550.0,26.0,2715.0,2.0,19.400467000000003,0.39848557
AEROHIVE NETWORKS INC,www.aerohive.com,19898.0,66.0,4485.0,6.0,20.785215,0.93033576
AEROJET ROCKETDYNE HOLDINGS,www.aerojetrocketdyne.com,5018.0,10.0,574.0,2.0,20.215578,-0.55653799
GRUPO AEROPORTUARIO DEL PACI,www.aeropuertosgap.com.mx,166385.0,40.0,1699.0,0.0,24.681179,0.58803546
AES CORP,www.aes.com,24216.0,33.0,1631.0,4.0,19.358925,0.79835612
AETNA INC,www.aetna.com,1177.0,40.0,2086.0,9.0,17.200492999999998,-0.34963149
AETERNA ZENTARIS INC,www.aezsinc.com,63562.0,29.0,2175.0,0.0,18.565294,0.42937481
AFFIMED NV,www.affimed.com,21635.0,34.0,1499.0,0.0,14.65756,1.2301695
AMERICAN FINANCIAL GROUP INC,www.afginc.com,8431.0,63.0,4104.0,2.0,23.018091000000002,-0.43830919
AFLAC INC,www.aflac.com,1449.0,88.0,5519.0,1.0,18.632915,0.89692044
AGCO CORP,www.agcocorp.com,25180.0,8.0,442.0,1.0,14.763449,-0.11476664
AGEAGLE AERIAL SYSTEMS,www.ageagle.com,27339.0,13.0,1339.0,3.0,17.69272,-0.69237113
AGELLAN COMMERCIAL REIT,www.agellanreit.com,17187.0,7.0,431.0,0.0,18.818464000000002,-0.91308957
AGF MANAGEMENT LTD  -CL B,www.agf.com,61955.0,26.0,1357.0,9.0,19.495989,0.72863179
AG GROWTH INTERNATIONAL,www.aggrowth.com,160453.0,9.0,565.0,1.0,15.974798000000002,-0.023683086000000002
AGILENT TECHNOLOGIES INC,www.agilent.com,126554.0,103.0,4394.0,3.0,18.545185,0.88564515
AGIOS PHARMACEUTICALS,www.agios.com,18159.0,13.0,1088.0,0.0,18.261692,-0.00070748921
AGNC INVESTMENT CORP,www.agnc.com,179889.0,2.0,77.0,0.0,18.089610999999998,-0.67476124
AGNICO EAGLE MINES LTD,www.agnicoeagle.com,1186.0,7.0,416.0,9.0,13.135816,-0.45904806
AGROFRESH SOLUTIONS INC,www.agrofresh.com,19525.0,10.0,534.0,1.0,15.559957,-0.0041792709
ALLIANCE HOLDINGS GP LP,www.ahgp.com,166363.0,11.0,1028.0,0.0,16.504988,-0.38568839
AMERICAN HOTEL INCM PROP LP,www.ahipreit.com,17380.0,25.0,1658.0,1.0,18.579744,0.51022911
ASHFORD HOSPITALITY TRUST,www.ahtreit.com,155754.0,24.0,1111.0,0.0,14.18377,-0.055314712
