listing_id,id,date,reviewer_id,reviewer_name,comments
58506,159852,2022-02-08,287371,Erna,"My mother and I had a delightful time at Studio Yindi. If you like the clean lines of modern architecture, a full view of a walk out garden, big city sites. beaches for swimming, trails for walking and endless shopping all within minutes this is the place for you . The birds singing will greet your day and the quite surroundings act as a perfect relaxing environment after a day of business or sight seeing.
<br/>Pam and John are perfect hosts ready to assist you when and if you choose."
58506,241897955,2022-02-08,3159702,Christine,"Great place to stay with kids if you are not always out and about but is also looking for a place where you can just chill on a  good day. There is an excellent playground up the road (5 min walk) and bus 423 will take you to the city in 20 min (only run once every hour so make sure you plan). John was very friendly, quick to reply and helpful in any way!"
58506,239705627,2022-02-08,153055762,Fahad,"We stayed at Studio Yindi with our two children for a complete month. It has a comfortable environment in a beautiful setting, an intelligent design to accommodate up to 4 people and all necessary arrangements to help you settle-in quickly. We found the public transport reasonably accessible as well. John and Pam's hospitality was exceptional. Thoroughly enjoyed our stay at this place... highly recommended!"
58506,230746697,2022-02-08,156694231,Stephanie,Lovely place and great location!  John met us as we arrived and showed us around.  I loved our backyard bird visitors!
58506,230059852,2022-02-08,148184643,Felicity,John's villa was perfect for our family's short stay in Sydney. The location was amazing and close to Balmoral beach which our children enjoyed.  John was accomodating and did what he could to make us feel welcome. We would love to stay here again. 5 stars!
58506,229096464,2022-02-08,60828871,Vivek,"Johns place is located in an affluent harbourside suburb with so many boutiques cafes and bistros along Military Road. My family really enjoyed their stay at this accommodation. <br/><br/>It has great ferry and bus connectivity to the city and John on the first day , drove me around Mosman to show me local grocery stores and places where I could buy basic amenities for my stay."
58506,228052852,2022-02-08,44445208,Christophe,"Le studio est dans un quartier calme de Mosman, à 20mn en bus du centre de Sydney. Un bus passe dans le rue au dessus toutes les heures. On peut aussi rejoindre la ville par le ferry en rejoignant Mosman bay en 10mn en voiture.<br/>Le studio est lumineux grâce à ses grandes baies vitrées.<br/>Il est équipé de deux pièces attenantes, une salle d'eau avec douche et WC et une petite chambres avec un lit double.<br/>Dans le studio, il y a un coin aménagé pour deux lits simples. Ce coin est isolé du reste du studio par quelques meubles bas. Il manque un rideau pour obscurcir cet espace de nuit.<br/>Le salon est vaste et agréable.  On y trouve deux canapés, quelques rangements et une télé.<br/>La cuisine est équipée de deux plaques électriques, un micro ondes et un grill pain. on trouve aussi une machine à laver récente. Il est facile d'étendre son linge. Les couverts et les verres sont en nombre limité. Les accessoires et ustensile de cuisine sont nombreux.<br/>John est un homme présent, aimable et serviable. Il est aussi de bons conseils. Nous avons apprécié notre séjour dans le studio."
58506,226474452,2022-02-08,33360953,Nicolas,Super studio idéalement situé. À 20 minutes de la cbd en bus. John est très sympathique. Il nous a conduit au supermarché le jour de notre arrivée. Il nous a ensuite prodigué de nombreux conseils.
58506,225236101,2022-02-08,37898620,Adeline,"Appartement spacieux dans quartier résidentiel chic. Bus à 2 min à pied, qui dessert directement le CBD. Supermarchés proches également. Petit jardin, bouteille de vin en arrivant, wifi, cuisine, nous avons réellement apprécié cette semaine passee chez John. Il'a été très réactif et super accueil. Nous recommandons à 100%"
58506,222474594,2022-02-08,5950025,Michael,John and Pam were excellent hosts. They were thoughtful and considerate in their small personal touches and communicative and accommodative both in the lead up and during our stay.<br/><br/>Highly recommended!
58506,221236378,2022-02-08,46265401,Steven,John was a very helpful host and the place was a good size space to stay.
